seq_coast_tube_id,success,sample,tree,sample_type,lat,lon,distance_from_edge,distance_from_fence,fenced,fwd_filepath,rev_filepath,sra_latlon
28,WEAK,end_f3,f3,endophyte,38.52322,-111.74998,81.2988044188747,13.7749189492098,NA,./Data/Raw/4539_28_S27_R1_001.fastq.gz,./Data/Raw/4539_28_S27_R2_001.fastq.gz,38.52322 N 111.74998 W
29,SUCCESSFUL,end_h6,h6,endophyte,38.52331,-111.75155,59.80237358207,2.99802621542214,NA,./Data/Raw/4539_29_S28_R1_001.fastq.gz,./Data/Raw/4539_29_S28_R2_001.fastq.gz,38.52331 N 111.75155 W
3,SUCCESSFUL,end_a4,a4,endophyte,38.52899,-111.74707,47.6793551743939,164.80219509426,NA,./Data/Raw/4539_3_S3_R1_001.fastq.gz,./Data/Raw/4539_3_S3_R2_001.fastq.gz,38.52899 N 111.74707 W
30,SUCCESSFUL,end_k5,k5,endophyte,38.52975,-111.74677,11.1123645959828,250.805775613919,NA,./Data/Raw/4539_30_S29_R1_001.fastq.gz,./Data/Raw/4539_30_S29_R2_001.fastq.gz,38.52975 N 111.74677 W
31,SUCCESSFUL,end_c5,c5,endophyte,38.52682,-111.7472,109.859610109753,26.1772158116232,NA,./Data/Raw/4539_31_S30_R1_001.fastq.gz,./Data/Raw/4539_31_S30_R2_001.fastq.gz,38.52682 N 111.7472 W
32,SUCCESSFUL,epi_a6,a6,epiphyte,38.52836,-111.74717,65.2059261963707,94.770005547821,NA,./Data/Raw/4539_32_S31_R1_001.fastq.gz,./Data/Raw/4539_32_S31_R2_001.fastq.gz,38.52836 N 111.74717 W
33,SUCCESSFUL,end_k1,k1,endophyte,38.52937,-111.74583,4.29710625419978,233.716848380716,NA,./Data/Raw/4539_33_S32_R1_001.fastq.gz,./Data/Raw/4539_33_S32_R2_001.fastq.gz,38.52937 N 111.74583 W
34,SUCCESSFUL,end_d4,d4,endophyte,38.52588,-111.74762,98.3786450803501,36.5219612755618,NA,./Data/Raw/4539_34_S33_R1_001.fastq.gz,./Data/Raw/4539_34_S33_R2_001.fastq.gz,38.52588 N 111.74762 W
35,SUCCESSFUL,end_a26,a26,endophyte,38.52251,-111.75327,44.3972890360915,71.9199067223795,NA,./Data/Raw/4539_35_S34_R1_001.fastq.gz,./Data/Raw/4539_35_S34_R2_001.fastq.gz,38.52251 N 111.75327 W
36,SUCCESSFUL,end_j4,j4,endophyte,38.52594,-111.75173,67.3382444841024,111.576251514937,NA,./Data/Raw/4539_36_S35_R1_001.fastq.gz,./Data/Raw/4539_36_S35_R2_001.fastq.gz,38.52594 N 111.75173 W
37,SUCCESSFUL,end_b4,b4,endophyte,38.52747,-111.74536,36.9718859748203,94.1812925094326,NA,./Data/Raw/4539_37_S36_R1_001.fastq.gz,./Data/Raw/4539_37_S36_R2_001.fastq.gz,38.52747 N 111.74536 W
38,SUCCESSFUL,end_g1,g1,endophyte,38.52312,-111.75191,25.1859320936865,1.51053718217305,NA,./Data/Raw/4539_38_S37_R1_001.fastq.gz,./Data/Raw/4539_38_S37_R2_001.fastq.gz,38.52312 N 111.75191 W
4,SUCCESSFUL,end_h5,h5,endophyte,38.52337,-111.75168,50.378044275165,9.84086371478006,NA,./Data/Raw/4539_4_S4_R1_001.fastq.gz,./Data/Raw/4539_4_S4_R2_001.fastq.gz,38.52337 N 111.75168 W
40,SUCCESSFUL,epi_a19,a19,epiphyte,38.52452,-111.75043,175.564410840518,41.7770457642432,NA,./Data/Raw/4539_40_S39_R1_001.fastq.gz,./Data/Raw/4539_40_S39_R2_001.fastq.gz,38.52452 N 111.75043 W
41,SUCCESSFUL,end_f1,f1,endophyte,38.52244,-111.74895,17.3183171366556,28.5970758098236,NA,./Data/Raw/4539_41_S40_R1_001.fastq.gz,./Data/Raw/4539_41_S40_R2_001.fastq.gz,38.52244 N 111.74895 W
42,SUCCESSFUL,end_a7,a7,endophyte,38.52825,-111.74721,74.7546709324778,82.7923312077789,NA,./Data/Raw/4539_42_S41_R1_001.fastq.gz,./Data/Raw/4539_42_S41_R2_001.fastq.gz,38.52825 N 111.74721 W
43,SUCCESSFUL,end_a14,a14,endophyte,38.52655,-111.74905,125.172318318325,70.2642932871932,NA,./Data/Raw/4539_43_S42_R1_001.fastq.gz,./Data/Raw/4539_43_S42_R2_001.fastq.gz,38.52655 N 111.74905 W
44,FAILED,end_a23,a23,endophyte,38.52351,-111.75195,32.0869718191485,36.026580118934,NA,./Data/Raw/4539_44_S43_R1_001.fastq.gz,./Data/Raw/4539_44_S43_R2_001.fastq.gz,38.52351 N 111.75195 W
45,SUCCESSFUL,end_g2,g2,endophyte,38.5232,-111.7522,2.03793035509649,24.2439630688134,NA,./Data/Raw/4539_45_S44_R1_001.fastq.gz,./Data/Raw/4539_45_S44_R2_001.fastq.gz,38.5232 N 111.7522 W
46,FAILED,epi_e3,e3,epiphyte,38.52375,-111.74891,66.7138146874101,65.4895254641454,NA,./Data/Raw/4539_46_S45_R1_001.fastq.gz,./Data/Raw/4539_46_S45_R2_001.fastq.gz,38.52375 N 111.74891 W
