id,line_id,point_id,lat,lon
132,0,132,38.5279838500,-111.7505720000
133,0,133,38.5279655400,-111.7505720000
134,0,134,38.5279472300,-111.7505720000
135,0,135,38.5279289100,-111.7505720000
136,0,136,38.5279106000,-111.7505720000
137,0,137,38.5278922900,-111.7505720000
138,0,138,38.5278739800,-111.7505720000
139,0,139,38.5278556600,-111.7505720000
140,0,140,38.5278373500,-111.7505720000
141,0,141,38.5278190400,-111.7505720000
142,0,142,38.5278190400,-111.7505720000
143,0,143,38.5278007400,-111.7505480000
144,0,144,38.5277824300,-111.7505480000
145,0,145,38.5277641300,-111.7505250000
146,0,146,38.5277458100,-111.7505250000
147,0,147,38.5277275100,-111.7505020000
148,0,148,38.5277092000,-111.7505020000
149,0,149,38.5276909000,-111.7504780000
150,0,150,38.5276725900,-111.7504780000
