autopopulated from order,text field,"""yes"" or leave blank","""yes"" or leave blank",Sequencing,autogenerated integer,autogenerated integer,optional text field,optional text field,optional text field,mandatory if DNA Extraction selected,0.0 ng/ul,text field,text field,"for variant calling and starts with ""GCF_"" or ""GCA_""",url (preferred) or exact file name,optional text field
Service Selection,Requester Name,DNA Extraction,Variant Calling,Success,SeqCoast Tube ID,Order ID,Project Name,Sample Name,Species Name,"Sample Type (please enter ""frozen cell pellet"" OR ""sealed pre-grown agar plate"")",DNA concentration in ng/ul (Qubit recommended),DNA quantification method (Qubit Nanodrop etc.),DNA elution buffer (water TE etc.),Genome accession number,If Variant Calling selected please provide a link or reference genome file name here (upload files during checkout),Sample Notes
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,FAILED,44,4539,UVU_Pando,end_a23,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,45,4539,UVU_Pando,end_g2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,FAILED,46,4539,UVU_Pando,epi_e3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,47,4539,UVU_Pando,epi_f3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,48,4539,UVU_Pando,epi_h3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,49,4539,UVU_Pando,end_a13,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,50,4539,UVU_Pando,end_g4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,51,4539,UVU_Pando,end_i5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,52,4539,UVU_Pando,end_a3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,53,4539,UVU_Pando,end_c3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,54,4539,UVU_Pando,epi_i3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,55,4539,UVU_Pando,epi_j6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,56,4539,UVU_Pando,epi_j7,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
